datetime,src,dst,channel,rssi,pdr
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,11,-90,70.59
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,12,-93,72.57
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,13,-93,74.0
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,14,-92,88.89
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,15,-93,77.45
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,16,-93,92.39
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,17,-93,81.74
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,18,-89,80.85
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,19,-93,92.39
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,20,-93,96.94
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,21,-93,90.53
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,22,-91,73.4
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,23,-93,88.76
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,24,-93,90.22
2018-01-11 13:51:07.617,00-17-0d-00-00-38-07-0c,,25,-93,78.49
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,11,-92,75.56
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,12,-93,77.08
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,13,-93,92.22
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,14,-92,87.0
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,15,-90,82.29
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,16,-92,82.22
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,17,-93,82.61
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,18,-89,93.81
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,19,-93,94.74
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,20,-89,85.26
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,21,-93,89.69
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,22,-93,69.0
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,23,-93,77.66
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,24,-93,93.55
2018-01-11 13:51:55.873,00-17-0d-00-00-38-04-25,,25,-93,91.58
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,11,-93,77.0
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,12,-86,88.42
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,13,-93,75.76
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,14,-92,73.63
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,15,-93,86.67
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,16,-90,90.1
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,17,-93,72.55
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,18,-90,60.42
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,19,-93,64.95
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,20,-93,86.0
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,21,-93,90.38
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,22,-93,86.11
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,23,-93,89.25
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,24,-89,79.61
2018-01-11 13:52:15.720,00-17-0d-00-00-38-06-67,,25,-93,91.67
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,11,-84,47.54
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,12,-86,65.22
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,13,-82,69.05
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,14,-83,69.4
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,15,-89,47.76
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,16,-90,49.14
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,17,-81,49.24
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,18,-83,65.87
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,19,-84,80.31
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,20,-83,84.48
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,21,-82,66.92
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,22,-80,55.56
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,23,-87,65.38
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,24,-83,64.23
2018-01-11 13:55:25.440,00-17-0d-00-00-38-06-d6,,25,-88,78.69
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,11,-85,75.81
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,12,-86,80.45
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,13,-87,58.82
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,14,-87,59.09
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,15,-91,78.15
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,16,-90,66.17
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,17,-87,51.59
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,18,-86,59.85
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,19,-85,75.38
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,20,-89,70.54
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,21,-90,73.39
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,22,-93,79.26
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,23,-89,79.1
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,24,-87,63.79
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,25,-91,82.93
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,11,-91,62.32
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,12,-87,40.14
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,13,-86,65.47
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,14,-89,53.79
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,15,-92,56.06
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,16,-91,69.33
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,17,-90,54.73
